ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	experiment_order	experiment	GeneRatio_dec	BgRatio_dec	freqratio	All_GOI	cluster_1	cluster_2	cluster_3	cluster_4	cluster_5	cluster_6	cluster_7	cluster_8	cluster_9	cluster_10	cluster_11	sig_hours
D004530	Egg Yolk	5/275	49/18018	0.00087968927979365	0.0208193129551164	0.0173622884169799	ap/Pdi/sqd/Yp2/Yp3	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00271950271950272	6.68571428571429	0.0208193129551164	0	0	0	0	0	0	0	0	0	0	0	4
D001253	Astrocytes	12/275	274/18018	0.00107305891734726	0.0234422101943556	0.0195496563889178	alrm/Atpalpha/CG11459/CG12224/CG14642/Eaat1/Eaat2/eas/Gat/Grik/nrv2/Sox102F	12	1	All Clusters ( 275 genes)	0.0436363636363636	0.0152070152070152	2.86948905109489	0.0234422101943556	0	0	0	0	0	0	0	0	0	0	0	5
D006066	Gonads	17/275	481/18018	0.00120781775948289	0.0245014459780814	0.020433007209297	Adh/AttC/CG11236/CG6277/CG8249/DptB/Galk/Kal1/Lsd-1/Prat2/Sodh-1/Sox102F/svp/Ubx/v/Yp2/Yp3	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.0266955266955267	2.31567567567568	0.0245014459780814	0	0	0	0	0	0	0	0	0	0	0	5
D002473	Cell Wall	6/275	81/18018	0.00149155496409118	0.0282401073201263	0.0235508678540713	Dif/DptB/GNBP3/PGRP-SD/psh/SPE	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.0044955044955045	4.85333333333333	0.0282401073201263	0	0	0	0	0	0	0	0	0	0	0	4
D008099	Liver	7/275	119/18018	0.00234295663332096	0.0407397922128586	0.0339749935059051	Adh/arg/eas/fbp/Mtp/Yp2/Yp3	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.0066045066045066	3.85411764705882	0.0407397922128586	0	0	0	0	0	0	0	0	0	0	0	5
D014566	Urogenital System	8/275	155/18018	0.0026554878326285	0.0407397922128586	0.0339749935059051	CG10960/CG16743/CG16758/CG6910/DptB/IM2/Yp2/Yp3	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.0086025086025086	3.38167741935484	0.0407397922128586	0	0	0	0	0	0	0	0	0	0	0	4
D016631	Lewy Bodies	5/275	63/18018	0.00272761721175285	0.0407397922128586	0.0339749935059051	Acsl/alpha-Est2/Apoltp/Hn/Shmt	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.0034965034965035	5.2	0.0407397922128586	0	0	0	0	0	0	0	0	0	0	0	4
D014795	Visual Pathways	14/275	390/18018	0.00278605995343268	0.0407397922128586	0.0339749935059051	Adh/alrm/ap/Atpalpha/Dr/Grik/moody/ninaC/nrv2/Pdfr/toy/trio/Ubx/v	14	1	All Clusters ( 275 genes)	0.0509090909090909	0.0216450216450216	2.352	0.0407397922128586	0	0	0	0	0	0	0	0	0	0	0	5
D006329	Heart Conduction System	4/275	39/18018	0.00286899945160976	0.0407397922128586	0.0339749935059051	Cyt-b5-r/eas/tok/trio	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00216450216450216	6.72	0.0407397922128586	0	0	0	0	0	0	0	0	0	0	0	3
D020419	Photoreceptor Cells, Vertebrate	9/275	197/18018	0.00334434964542358	0.0452283475857284	0.0377182290837246	Aldh/Atpalpha/CG18107/CG6912/Dyb/eas/Slob/svp/toy	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.0109335109335109	2.99329949238579	0.0452283475857284	0	0	0	0	0	0	0	0	0	0	0	6
D018244	Chromosomes, Artificial, Yeast	4/275	43/18018	0.0041047074691301	0.0529880418742249	0.044189434476281	alpha-Est2/alpha-Est7/alpha-Est8/Dif	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00238650238650239	6.09488372093023	0.0529880418742249	0	0	0	0	0	0	0	0	0	0	0	4
D045604	Extracellular Fluid	3/275	25/18018	0.00630895916473988	0.0770076559808904	0.0642206174785039	Atpalpha/nrv1/nrv2	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.00138750138750139	7.8624	0.0770076559808904	0	0	0	0	0	0	0	0	0	0	0	3
D014617	Vacuoles	12/275	342/18018	0.00650768923782173	0.0770076559808904	0.0642206174785039	alpha-Est7/CG10960/CG2736/CG31326/CG3829/Dif/Lsd-1/nec/NimB1/NimB2/NimB5/Vha68-2	12	1	All Clusters ( 275 genes)	0.0436363636363636	0.018981018981019	2.29894736842105	0.0770076559808904	0	0	0	0	0	0	0	0	0	0	0	4
D020675	Peroxisomes	8/275	194/18018	0.0100294903684223	0.108373651510529	0.0903783231648222	Acsl/CG11236/CG12338/CG15067/CG18003/IM2/Lkr/Spat	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.0107670107670108	2.70185567010309	0.108373651510529	0	0	0	0	0	0	0	0	0	0	0	4
D011901	Ranvier's Nodes	3/275	30/18018	0.0105310074333115	0.108373651510529	0.0903783231648222	Atpalpha/nrv1/nrv2	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.00166500166500167	6.552	0.108373651510529	0	0	0	0	0	0	0	0	0	0	0	3
D005110	Extracellular Space	8/275	196/18018	0.0106265929470198	0.108373651510529	0.0903783231648222	Adgf-D/cv-2/Eaat1/GlyP/nec/nrv1/Tsf1/tsl	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.0108780108780109	2.67428571428571	0.108373651510529	0	0	0	0	0	0	0	0	0	0	0	5
D010586	Phagocytes	6/275	121/18018	0.0106847262052634	0.108373651510529	0.0903783231648222	alrm/AttC/Dif/DptB/Eaat1/Pdi	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00671550671550672	3.24892561983471	0.108373651510529	0	0	0	0	0	0	0	0	0	0	0	3
D005836	Genitalia, Female	9/275	239/18018	0.0113828973869377	0.111473891651389	0.0929637717626487	Adh/CG14642/frma/Idgf4/Npc2h/SPE/teq/Ubx/Vha68-2	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.0132645132645133	2.46728033472803	0.111473891651389	0	0	0	0	0	0	0	0	0	0	0	5
D052437	Adipocytes, Brown	5/275	91/18018	0.0128058706311543	0.117318298685414	0.0978377212906525	AkhR/CG8665/CG9485/fbp/Lsd-1	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00505050505050505	3.6	0.117318298685414	0	0	0	0	0	0	0	0	0	0	0	4
D052438	Adipocytes, White	5/275	91/18018	0.0128058706311543	0.117318298685414	0.0978377212906525	AkhR/CG8665/CG9485/fbp/Lsd-1	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00505050505050505	3.6	0.117318298685414	0	0	0	0	0	0	0	0	0	0	0	4
D004547	Elastic Tissue	1/275	1/18018	0.0152625152625151	0.13135013135013	0.109539583223793	Ubx	1	1	All Clusters ( 275 genes)	0.00363636363636364	5.55000555000555e-05	65.52	0.13135013135013	0	0	0	0	0	0	0	0	0	0	0	2
D020894	Microfibrils	1/275	1/18018	0.0152625152625151	0.13135013135013	0.109539583223793	Ubx	1	1	All Clusters ( 275 genes)	0.00363636363636364	5.55000555000555e-05	65.52	0.13135013135013	0	0	0	0	0	0	0	0	0	0	0	2
D046569	Neuroepithelial Cells	9/275	253/18018	0.015981073789112	0.13330429265023	0.111169258140481	ap/CG33494/Gat/Lsp1beta/nrv1/Obp99b/svp/toy/Ubx	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.014041514041514	2.33075098814229	0.13330429265023	0	0	0	0	0	0	0	0	0	0	0	4
D055098	Endocrine Cells	5/275	98/18018	0.0171741696365579	0.13330429265023	0.111169258140481	AkhR/Lkr/Lst/Obp99b/Pdfr	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00543900543900544	3.34285714285714	0.13330429265023	0	0	0	0	0	0	0	0	0	0	0	4
D009476	Neurons, Efferent	3/275	36/18018	0.0173231177101091	0.13330429265023	0.111169258140481	eas/Lkr/teq	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.001998001998002	5.46	0.13330429265023	0	0	0	0	0	0	0	0	0	0	0	3
D008861	Microsomes	4/275	65/18018	0.0173671085495019	0.13330429265023	0.111169258140481	Adh/Lsp1beta/Yp2/Yp3	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00360750360750361	4.032	0.13330429265023	0	0	0	0	0	0	0	0	0	0	0	3
D007106	Immune Sera	5/275	99/18018	0.0178693839277762	0.133550132512853	0.111374276558162	Hex-C/ninaC/svp/tsl/Ubx	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00549450549450549	3.30909090909091	0.133550132512853	0	0	0	0	0	0	0	0	0	0	0	4
D007668	Kidney	11/275	352/18018	0.0197699488570305	0.143965781420427	0.120060418160104	Btnd/CG2145/CG3376/Hn/IM2/Lkr/Slob/Ubx/Vha68-2/Yp2/Yp3	11	1	All Clusters ( 275 genes)	0.04	0.0195360195360195	2.0475	0.143965781420427	0	0	0	0	0	0	0	0	0	0	0	5
D009432	Neural Crest	5/275	103/18018	0.0208355319176004	0.144780114400085	0.120739532023792	CG5080/Dr/nrv1/tok/Ubx	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00571650571650572	3.18058252427184	0.144780114400085	0	0	0	0	0	0	0	0	0	0	0	4
D001812	Blood-Brain Barrier	9/275	265/18018	0.0209013545436743	0.144780114400085	0.120739532023792	Apoltp/AttC/CG14274/CG4325/Eaat1/Eaat2/Gat/moody/nrv2	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.0147075147075147	2.22520754716981	0.144780114400085	0	0	0	0	0	0	0	0	0	0	0	4
D020895	Enterocytes	11/275	360/18018	0.0228731651690768	0.14934946396009	0.124550146000816	Acsl/AttC/Dif/DptB/GNBP3/Hayan/Mtp/Npc2g/PGRP-SD/SPE/Ubx	11	1	All Clusters ( 275 genes)	0.04	0.01998001998002	2.002	0.14934946396009	0	0	0	0	0	0	0	0	0	0	0	4
D002884	Chromosomes, Human, Pair 15	2/275	16/18018	0.0241904061343808	0.14934946396009	0.124550146000816	Aldh/Atpalpha	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.000888000888000888	8.19	0.14934946396009	0	0	0	0	0	0	0	0	0	0	0	3
D009186	Myelin Sheath	2/275	16/18018	0.0241904061343808	0.14934946396009	0.124550146000816	alrm/Eaat1	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.000888000888000888	8.19	0.14934946396009	0	0	0	0	0	0	0	0	0	0	0	3
D015017	Yolk Sac	2/275	16/18018	0.0241904061343808	0.14934946396009	0.124550146000816	Yp2/Yp3	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.000888000888000888	8.19	0.14934946396009	0	0	0	0	0	0	0	0	0	0	0	2
D015496	CD4-Positive T-Lymphocytes	2/275	16/18018	0.0241904061343808	0.14934946396009	0.124550146000816	trio/v	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.000888000888000888	8.19	0.14934946396009	0	0	0	0	0	0	0	0	0	0	0	3
D011650	Pulmonary Alveoli	1/275	2/18018	0.0302929203412082	0.183046582487301	0.152651894216615	nrv1	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000111000111000111	32.76	0.183046582487301	0	0	0	0	0	0	0	0	0	0	0	2
D009897	Optic Chiasm	2/275	19/18018	0.0334564008421115	0.19795037164916	0.165080925207787	alrm/moody	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00105450105450105	6.89684210526316	0.19795037164916	0	0	0	0	0	0	0	0	0	0	0	3
D010496	Pericardium	4/275	82/18018	0.0367877046418769	0.213218533026388	0.17781382479962	Dr/nrv1/svp/tsl	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00455100455100455	3.19609756097561	0.213218533026388	0	0	0	0	0	0	0	0	0	0	0	4
D009206	Myocardium	13/275	490/18018	0.0384442098183859	0.218363111768432	0.182104151771302	Acer/Adh/ap/CG16743/CG5080/Dif/Dr/Galk/Ndg/Sox102F/svp/Tig/Ubx	13	1	All Clusters ( 275 genes)	0.0472727272727273	0.0271950271950272	1.73828571428571	0.218363111768432	0	0	0	0	0	0	0	0	0	0	0	5
D001792	Blood Platelets	2/275	21/18018	0.0402789522551967	0.224298479225017	0.187053957841471	RpL6/v	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00116550116550117	6.24	0.224298479225017	0	0	0	0	0	0	0	0	0	0	0	3
D022003	Cell Nucleus Structures	4/275	86/18018	0.0426385613393658	0.225167380490907	0.187778578986116	CG17841/Hrb27C/sqd/Ubx	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00477300477300477	3.04744186046512	0.225167380490907	0	0	0	0	0	0	0	0	0	0	0	4
D008196	Lymph	5/275	125/18018	0.0428128727995362	0.225167380490907	0.187778578986116	Dif/Obp83ef/Obp99b/Obp99c/Tig	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00693750693750694	2.6208	0.225167380490907	0	0	0	0	0	0	0	0	0	0	0	4
D057506	Arthropod Antennae	13/275	498/18018	0.0428135160088344	0.225167380490907	0.187778578986116	Aldh/Ance-5/ap/CG30002/CG4259/Nepl15/kra/Obp83ef/Obp99b/Obp99c/toy/trio/Ubx	13	1	All Clusters ( 275 genes)	0.0472727272727273	0.0276390276390276	1.71036144578313	0.225167380490907	0	0	0	0	0	0	0	0	0	0	0	4
D002876	Chromosomes, Bacterial	2/275	22/18018	0.0438699617607884	0.226528529819344	0.188913710931625	CaMKI/toy	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00122100122100122	5.95636363636364	0.226528529819344	0	0	0	0	0	0	0	0	0	0	0	3
D007684	Kidney Tubules	5/275	127/18018	0.0453092644212623	0.229782698136402	0.191627528097444	Lkr/Ndg/svp/Tig/Ubx	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00704850704850705	2.57952755905512	0.229782698136402	0	0	0	0	0	0	0	0	0	0	0	4
D007739	L Cells (Cell Line)	2/275	23/18018	0.0475749018858088	0.236997975792008	0.197644716653825	Atpalpha/Yp2	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00127650127650128	5.69739130434783	0.236997975792008	0	0	0	0	0	0	0	0	0	0	0	2
D001485	Basement Membrane	8/275	262/18018	0.0484009950561144	0.236997975792008	0.197644716653825	AttC/DptB/Glt/klg/Ndg/trio/Yp2/Yp3	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.0145410145410145	2.0006106870229	0.236997975792008	0	0	0	0	0	0	0	0	0	0	0	5
D012669	Seminal Vesicles	3/275	54/18018	0.0493464044788818	0.237531845288177	0.198089937693995	svp/Yp2/Yp3	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.002997002997003	3.64	0.237531845288177	0	0	0	0	0	0	0	0	0	0	0	3
D002642	Chick Embryo	6/275	175/18018	0.0521401151994182	0.246796545277246	0.20581624420823	Adh/ap/DNaseII/Dr/svp/Ubx	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00971250971250971	2.2464	0.246796545277246	0	0	0	0	0	0	0	0	0	0	0	4
D002823	Chorion	6/275	177/18018	0.054522605096326	0.253353340771346	0.211284290858239	Dr/Glt/Ndg/svp/tsl/Yp2	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00982350982350982	2.22101694915254	0.253353340771346	0	0	0	0	0	0	0	0	0	0	0	3
D020651	Ventral Thalamic Nuclei	2/275	25/18018	0.0553095321402235	0.253353340771346	0.211284290858239	Achl/Pdfr	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00138750138750139	5.2416	0.253353340771346	0	0	0	0	0	0	0	0	0	0	0	2
D009900	Optic Nerve	4/275	96/18018	0.0594228840714195	0.256767909929837	0.214131874478182	ap/Atpalpha/nrv1/nrv2	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00532800532800533	2.73	0.256767909929837	0	0	0	0	0	0	0	0	0	0	0	4
D005145	Face	1/275	4/18018	0.0596714156879199	0.256767909929837	0.214131874478182	Ubx	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000222000222000222	16.38	0.256767909929837	0	0	0	0	0	0	0	0	0	0	0	2
D005147	Facial Bones	1/275	4/18018	0.0596714156879199	0.256767909929837	0.214131874478182	Ubx	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000222000222000222	16.38	0.256767909929837	0	0	0	0	0	0	0	0	0	0	0	2
D018871	Endoplasmic Reticulum, Smooth	1/275	4/18018	0.0596714156879199	0.256767909929837	0.214131874478182	Acsl	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000222000222000222	16.38	0.256767909929837	0	0	0	0	0	0	0	0	0	0	0	2
D009504	Neutrophils	2/275	27/18018	0.0634497810917544	0.266307900062475	0.222087759503547	CCHa2/v	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.0014985014985015	4.85333333333333	0.266307900062475	0	0	0	0	0	0	0	0	0	0	0	2
D002877	Chromosomes, Human	3/275	60/18018	0.0637638633952405	0.266307900062475	0.222087759503547	Adh/ap/Ubx	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.00333000333000333	3.276	0.266307900062475	0	0	0	0	0	0	0	0	0	0	0	3
D002479	Inclusion Bodies	6/275	187/18018	0.0674123629439677	0.277465377914302	0.231392550150919	Acsl/Adh/ap/GNBP3/Lsd-1/nec	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.0103785103785104	2.10224598930481	0.277465377914302	0	0	0	0	0	0	0	0	0	0	0	5
D000870	Anterior Horn Cells	1/275	5/18018	0.0740263818634399	0.29610552745376	0.246937522895092	Dr	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000277500277500278	13.104	0.29610552745376	0	0	0	0	0	0	0	0	0	0	0	2
D013895	Thoracic Arteries	1/275	5/18018	0.0740263818634399	0.29610552745376	0.246937522895092	Ubx	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000277500277500278	13.104	0.29610552745376	0	0	0	0	0	0	0	0	0	0	0	2
D007515	Islets of Langerhans	2/275	30/18018	0.0763522579945098	0.297041661238915	0.247718212671445	AkhR/Lst	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00166500166500167	4.368	0.297041661238915	0	0	0	0	0	0	0	0	0	0	0	2
D013643	Tarsus, Animal	2/275	30/18018	0.0763522579945098	0.297041661238915	0.247718212671445	ap/Ubx	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00166500166500167	4.368	0.297041661238915	0	0	0	0	0	0	0	0	0	0	0	2
D002540	Cerebral Cortex	4/275	106/18018	0.0792230984282133	0.304045404778548	0.253558992124438	Ac76E/kra/svp/trio	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00588300588300588	2.47245283018868	0.304045404778548	0	0	0	0	0	0	0	0	0	0	0	4
D054022	Cerebrum	1/275	6/18018	0.0881629912559652	0.331192869656188	0.276198649639149	Hn	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000333000333000333	10.92	0.331192869656188	0	0	0	0	0	0	0	0	0	0	0	2
D002970	Cleavage Stage, Ovum	5/275	155/18018	0.0892019661934546	0.331192869656188	0.276198649639149	CG42369/Nepl6/svp/Tig/Ubx	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.0086025086025086	2.11354838709677	0.331192869656188	0	0	0	0	0	0	0	0	0	0	0	3
D032386	Myoblasts, Cardiac	6/275	202/18018	0.0897952498715721	0.331192869656188	0.276198649639149	Nepl14/Ndg/Nep4/Spn43Ab/svp/Tig	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.0112110112110112	1.94613861386139	0.331192869656188	0	0	0	0	0	0	0	0	0	0	0	4
D000009	Abdominal Muscles	2/275	34/18018	0.0946940609833861	0.337776826779229	0.281689347758809	nrv1/nrv2	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00188700188700189	3.85411764705882	0.337776826779229	0	0	0	0	0	0	0	0	0	0	0	2
D015825	Chromosomes, Fungal	2/275	34/18018	0.0946940609833861	0.337776826779229	0.281689347758809	Adh/Ubx	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00188700188700189	3.85411764705882	0.337776826779229	0	0	0	0	0	0	0	0	0	0	0	3
D032342	Muscle Cells	8/275	304/18018	0.095148401909642	0.337776826779229	0.281689347758809	AkhR/Atpalpha/CG8665/CG9485/Eaat1/Eaat2/fbp/Lsd-1	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.0168720168720169	1.72421052631579	0.337776826779229	0	0	0	0	0	0	0	0	0	0	0	5
D017629	Gap Junctions	4/275	115/18018	0.0994919819483586	0.343205219220814	0.286216361470286	Atpalpha/eas/kra/mtg	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00638250638250638	2.27895652173913	0.343205219220814	0	0	0	0	0	0	0	0	0	0	0	3
D014680	Veins	6/275	208/18018	0.0997559374446346	0.343205219220814	0.286216361470286	ap/CG9691/cv-2/Idgf4/Lsd-1/Ubx	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.0115440115440115	1.89	0.343205219220814	0	0	0	0	0	0	0	0	0	0	0	4
D005728	Ganglia, Sympathetic	1/275	7/18018	0.102084553403678	0.343205219220814	0.286216361470286	ap	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000388500388500389	9.36	0.343205219220814	0	0	0	0	0	0	0	0	0	0	0	2
D018916	Blood-Aqueous Barrier	1/275	7/18018	0.102084553403678	0.343205219220814	0.286216361470286	AttC	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000388500388500389	9.36	0.343205219220814	0	0	0	0	0	0	0	0	0	0	0	2
D010857	Pigment Epithelium of Eye	5/275	162/18018	0.102719871949891	0.343205219220814	0.286216361470286	Adh/Atpalpha/Dr/Pdh/v	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00899100899100899	2.02222222222222	0.343205219220814	0	0	0	0	0	0	0	0	0	0	0	4
D009831	Olfactory Mucosa	3/275	75/18018	0.106984661398355	0.353298184152707	0.294633400423866	Obp83ef/Obp99b/Obp99c	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.00416250416250416	2.6208	0.353298184152707	0	0	0	0	0	0	0	0	0	0	0	2
D007031	Hypothalamus	2/275	37/18018	0.109185698025347	0.356422278611477	0.297238742355753	Dif/teq	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.00205350205350205	3.54162162162162	0.356422278611477	0	0	0	0	0	0	0	0	0	0	0	3
D059330	GABAergic Neurons	3/275	77/18018	0.113436326481698	0.360298913034782	0.300471665799948	alrm/eas/Gat	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.00427350427350427	2.55272727272727	0.360298913034782	0	0	0	0	0	0	0	0	0	0	0	3
D007013	Hypopharynx	1/275	8/18018	0.115794327864507	0.360298913034782	0.300471665799948	CG6805	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000444000444000444	8.19	0.360298913034782	0	0	0	0	0	0	0	0	0	0	0	2
D012728	Sex Chromatin	1/275	8/18018	0.115794327864507	0.360298913034782	0.300471665799948	v	1	1	All Clusters ( 275 genes)	0.00363636363636364	0.000444000444000444	8.19	0.360298913034782	0	0	0	0	0	0	0	0	0	0	0	2
