ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	experiment_order	experiment	GeneRatio_dec	BgRatio_dec	freqratio
D024681	Potassium Channels, Calcium-Activated	22/275	300/15617	1.76068266662666e-08	2.03212124439827e-06	1.72207120463923e-06	Achl/alpha-Est7/CG10960/CG11089/CG15293/CG5080/CG5778/CG9691/CG9928/Eaat2/eas/Galk/Gel/Glt/Hex-C/Idgf1/Idgf4/kra/Mtp/Pdh/Slob/SPE	22	1	All Clusters ( 275 genes)	0.08	0.0192098354357431	4.16453333333333
D051557	Hepatocyte Nuclear Factor 4	28/275	481/15617	3.02287191701197e-08	3.22052123466275e-06	2.72915156880028e-06	CG11459/CG11594/Nepl21/Nepl18/CG18249/CG2736/CG2839/CG30151/CG3984/CG4259/Ugt49B1/CG4335/CG5171/CG5321/CG6908/CG6912/Nepl10/CG9928/Cyp304a1/Cyp6d2/DNaseII/Glt/Hex-C/IM2/lectin-28C/Lsp1beta/Obp99b/Sodh-1	28	1	All Clusters ( 275 genes)	0.101818181818182	0.0307997694819748	3.30580986580987
D004156	Catechol Oxidase	17/275	196/15617	6.99320207459766e-08	6.91827490951269e-06	5.86272203998225e-06	AttC/CG11089/CG14823/CG5390/CG8586/CG8738/Dif/Hayan/MP1/nec/PGRP-SD/psh/Ser7/SPE/Spn28Dc/Spn77Ba/Spn88Eb	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.0125504258180188	4.92558441558442
D008070	Lipopolysaccharides	25/275	418/15617	1.03313455226153e-07	9.53927569921483e-06	8.08382474225692e-06	Adh/Apoltp/AttC/CG11842/CG15067/CG3829/CG4259/CG5390/CG6330/Dif/DptB/GNBP3/Hayan/Idgf2/IM2/nec/Npc2g/Npc2h/PGRP-SD/Sodh-1/SPE/teq/toy/trio/Tsf1	25	1	All Clusters ( 275 genes)	0.0909090909090909	0.0267657040404687	3.39647672901261
D051036	Large-Conductance Calcium-Activated Potassium Channels	22/275	336/15617	1.31742745118036e-07	1.140398137428e-05	9.66402373727698e-06	Achl/alpha-Est7/CG10960/CG11089/CG15293/CG5080/CG5778/CG9691/CG9928/Eaat2/eas/Galk/Gel/Glt/Hex-C/Idgf1/Idgf4/kra/Mtp/Pdh/Slob/SPE	22	1	All Clusters ( 275 genes)	0.08	0.0215150156880323	3.71833333333333
D057057	Serine Proteases	12/275	100/15617	1.85415096820418e-07	1.51058770056635e-05	1.28011042077255e-05	CG5390/CG8586/CG8738/CG9372/Hayan/Irc/MP1/psh/Ser7/SPE/Spn28Dc/Spn77Ba	12	1	All Clusters ( 275 genes)	0.0436363636363636	0.00640327847858103	6.81469090909091
D051699	Cyclic AMP Response Element-Binding Protein A	13/275	129/15617	4.49948838125309e-07	3.40832963159874e-05	2.88830517897214e-05	Adh/Dif/DptB/fon/Galk/Hex-C/MP1/nec/PGRP-SD/Tps1/Tsf1/Ubx/Yp2	13	1	All Clusters ( 275 genes)	0.0472727272727273	0.00826022923736953	5.72293164200141
D015843	Serpins	25/275	453/15617	4.70983018903212e-07	3.40832963159874e-05	2.88830517897214e-05	CG5390/CG8586/CG8738/Dif/dnr1/Gel/GNBP3/Hayan/Hn/IM2/MP1/nec/nrv2/Pdh/PGRP-SD/psh/Ser7/Shmt/SPE/Spn28Dc/Spn43Ab/Spn77Ba/Spn88Eb/Tig/tsl	25	1	All Clusters ( 275 genes)	0.0909090909090909	0.0290068515079721	3.13405578968493
D011988	Receptors, Thyroid Hormone	13/275	130/15617	4.92177564129782e-07	3.40832963159874e-05	2.88830517897214e-05	AttC/CG11842/CG15067/CG3829/DptB/Hayan/IM2/PGRP-SD/Sodh-1/SPE/svp/trio/Tsf1	13	1	All Clusters ( 275 genes)	0.0472727272727273	0.00832426202215534	5.67890909090909
D010088	Oxidoreductases	23/275	394/15617	5.23859529416159e-07	3.45497832495895e-05	2.92783646766425e-05	Acsl/Adh/Aldh/ap/AttC/CG10960/CG11089/Nepl21/DptB/Galk/Hex-C/Hn/Idgf1/Idgf4/Irc/ninaC/Obp99b/Pdh/Sodh-1/svp/teq/v/Vha68-2	23	1	All Clusters ( 275 genes)	0.0836363636363636	0.0252289172056093	3.31509921550531
D010457	Peptidoglycan	16/275	202/15617	5.88983642805242e-07	3.70791975129664e-05	3.14218546281266e-05	AttC/Ugt49C1/CG16898/CG17278/Dif/DptB/GNBP3/Idgf1/nec/Npc2g/Npc2h/PGRP-SD/psh/SPE/teq/Tsf1	16	1	All Clusters ( 275 genes)	0.0581818181818182	0.0129346225267337	4.49814581458146
D014280	Triglycerides	26/275	497/15617	7.61652811182856e-07	4.58647453690546e-05	3.88669512342739e-05	Acsl/Adh/AkhR/Apoltp/CG12116/CG17928/CG3376/CG3999/CG4335/Nepl15/CG5321/CG9485/cv-d/Cyt-b5-r/Dif/DptB/fbp/Hex-C/Hn/Irc/Lsd-1/Mal-B2/Mtp/Npc2g/Npc2h/Spat	26	1	All Clusters ( 275 genes)	0.0945454545454545	0.0318242940385477	2.97085787451985
D008049	Lipase	20/275	333/15617	1.91883187415139e-06	0.000110732589404153	9.3837611389421e-05	Adh/AkhR/CG11089/CG18003/CG6277/CG6415/CG9837/Hex-C/Hn/LKRSDH/Lsd-1/Lst/Mal-B2/Npc2g/Npc2h/Shmt/Spat/svp/Yp2/Yp3	20	1	All Clusters ( 275 genes)	0.0727272727272727	0.0213229173336748	3.41075621075621
D051844	alpha-Synuclein	17/275	259/15617	3.5376200645277e-06	0.000195984151574834	0.00016608195250309	Acsl/alpha-Est2/Apoltp/Atpalpha/CG2233/CG32191/CG3829/CRMP/GlyP/Hn/Lsp1beta/Obp99b/Pdh/RpL6/Shmt/Tps1/trio	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.0165844912595249	3.72746928746929
D010714	Phosphatidylethanolamines	10/275	90/15617	4.0309172614866e-06	0.000209884380022941	0.000177861359472224	Acsl/Adh/CG2233/eas/Hex-C/Idgf4/Lsd-1/Npc2g/Obp99b/Rchy1	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00576295063072293	6.30989898989899
D001055	Apolipoproteins B	5/275	15/15617	4.2431499210414e-06	0.000209884380022941	0.000177861359472224	AkhR/Apoltp/cv-d/Mtp/Yp2	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.000960491771787155	18.929696969697
D002247	Carbon Isotopes	5/275	15/15617	4.2431499210414e-06	0.000209884380022941	0.000177861359472224	Adh/Atpalpha/nrv1/nrv2/Tps1	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.000960491771787155	18.929696969697
D009955	Ornithine Decarboxylase	3/275	3/15617	5.40177517330662e-06	0.000257981331552747	0.000218619938955967	ap/Odc1/Odc2	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000192098354357431	56.7890909090909
D036361	Peptide Hormones	10/275	95/15617	6.59101340640839e-06	0.000304285118929187	0.00025785894554896	Adgf-D/AkhR/CCHa2/Nepl15/Hex-C/Idgf1/Idgf2/Idgf4/Lst/Nplp2	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00608311455465198	5.9777990430622
D005721	Glutamate-Cysteine Ligase	7/275	42/15617	7.74460423075634e-06	0.000346008930954759	0.000293216764594001	CG2145/Nepl6/CG4716/fat-spondin/frma/GNBP3/NimB2	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00268937696100403	9.46484848484848
D017077	Culture Media, Conditioned	7/275	43/15617	9.11249549842012e-06	0.000394400195790996	0.000334224752655869	Dif/Glt/Idgf1/Idgf2/Idgf4/Idgf5/Tig	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00275340974578984	9.24473572938689
D012414	Rubidium Radioisotopes	3/275	4/15617	2.13247996466389e-05	0.000894995379108934	0.000758441837512036	Atpalpha/nrv1/nrv2	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000256131139143241	42.5918181818182
D005293	Ferritins	10/275	109/15617	2.2405689132604e-05	0.000912702336725194	0.000773447163555836	Adh/Aldh/Atpalpha/bnb/CG4716/CG6910/Lsp1beta/ninaC/Tsf1/Tsf3	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.00697957354165333	5.21000834028357
D003634	DDT	20/275	397/15617	2.58938524479175e-05	0.00102465673258188	0.000868320164794829	Adh/AttC/CG12224/CG15293/CG18003/CG3597/CG4259/CG6277/CG6908/Cyp304a1/Cyp6d2/Cyp9b1/DptB/Idgf1/Lsp1beta/ninaC/Npc2g/Npc2h/Pdh/v	20	1	All Clusters ( 275 genes)	0.0727272727272727	0.0254210155599667	2.86091138081063
D008071	Lipoprotein Lipase	8/275	75/15617	5.0761522419752e-05	0.00193526035694476	0.00163998882613977	CG6277/Hex-C/Hn/Lsd-1/Mal-B2/Spat/Yp2/Yp3	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.00480245885893577	6.05750303030303
D002241	Carbohydrates	20/275	417/15617	5.17000961783076e-05	0.00193526035694476	0.00163998882613977	Adgf-D/AkhR/CCHa2/CG11089/CG18003/CG2839/CG6277/CG9837/GlyP/Hex-C/lectin-28C/LKRSDH/Lst/nrv1/nrv2/Shmt/Spat/teq/Tps1/v	20	1	All Clusters ( 275 genes)	0.0727272727272727	0.0267016712556829	2.72369740571179
D008726	Methoprene	11/275	149/15617	6.66479278295709e-05	0.00239392982259952	0.00202867699198059	Acsl/Adh/Aldh/alpha-Est7/ap/CG13868/nrv2/Obp99b/v/Yp2/Yp3	11	1	All Clusters ( 275 genes)	0.04	0.00954088493308574	4.19248322147651
D005690	Galactose	8/275	78/15617	6.7410298253705e-05	0.00239392982259952	0.00202867699198059	CG2839/Dif/Galk/GNBP3/lectin-28C/nec/psh/SPE	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.00499455721329321	5.82452214452214
D008074	Lipoproteins	8/275	81/15617	8.83637177554805e-05	0.00302006558896265	0.0025592803584977	AkhR/Apoltp/cv-d/klg/Lsd-1/Mtp/Yp2/Yp3	8	1	All Clusters ( 275 genes)	0.0290909090909091	0.00518665556765064	5.60879910213244
D006728	Hormones	17/275	333/15617	8.94026636443816e-05	0.00302006558896265	0.0025592803584977	Acer/Adh/AkhR/ap/CG11236/CG4716/CG6277/Galk/Lsd-1/Lst/nec/Sodh-1/svp/tsl/Ubx/Yp2/Yp3	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.0213229173336748	2.89914277914278
D010042	Ouabain	5/275	27/15617	9.59298842348592e-05	0.00316340213488762	0.00268074739152551	Adh/Atpalpha/nrv1/nrv2/sqd	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00172888518921688	10.5164983164983
D013464	Sulfuric Acids	3/275	6/15617	0.000103859505203285	0.00334524220247789	0.0028348432876784	Adh/Yp2/Yp3	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000384196708714862	28.3945454545455
D051192	Receptors, Pattern Recognition	9/275	107/15617	0.000113627057037549	0.0035766698635683	0.00303096097121691	CG10960/dnr1/DptB/GNBP3/Npc2g/Npc2h/PGRP-SD/psh/SPE	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.00685150797208171	4.77665250637213
D014357	Trypsin	12/275	193/15617	0.000163173703744413	0.00502212399302248	0.00425587554795369	Adh/bnb/CG14642/CG9691/dnr1/Nplp2/Obp99b/Obp99c/SPE/teq/Yp2/Yp3	12	1	All Clusters ( 275 genes)	0.0436363636363636	0.0123583274636614	3.53092793217146
D015306	Biogenic Monoamines	11/275	167/15617	0.000184433987204663	0.0055059386106268	0.00466587235481579	Achl/ap/Apoltp/CG12116/CG31326/Nepl14/CG9649/cv-d/fbp/Pdh/Slob	11	1	All Clusters ( 275 genes)	0.04	0.0106934750592303	3.74059880239521
D010721	Phosphinic Acids	4/275	17/15617	0.000186844126136794	0.0055059386106268	0.00466587235481579	Acer/Ance-4/Ance-5/eas	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00108855734135878	13.3621390374332
D014530	Uridine Diphosphate	4/275	18/15617	0.00023691602596765	0.00683601449927489	0.00579301247705986	Atpalpha/nrv1/nrv2/Tps1	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00115259012614459	12.619797979798
D003484	Cyanamide	2/275	2/15617	0.000308969667879791	0.00873312224517368	0.00740066981065449	Adh/Aldh	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.000128065569571621	56.7890909090909
D000935	Antifungal Agents	7/275	74/15617	0.00031987699345133	0.00878949586715582	0.00744844225109537	AttC/Dif/MP1/nec/psh/Spn43Ab/Spn77Ba	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00473842607414996	5.37194103194103
D049488	Phosphatidylethanolamine Binding Protein	6/275	53/15617	0.000323656526516207	0.00878949586715582	0.00744844225109537	Adh/CG2233/Idgf4/Npc2g/Obp99b/Rchy1	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00339373759364795	6.42895368782161
D013002	Somatomedins	14/275	274/15617	0.000369102996786029	0.00983091635670482	0.00833096844972515	Adgf-D/AkhR/CG15203/CG16898/Gbp2/Gbp3/Idgf1/Idgf2/Idgf4/Idgf5/lectin-28C/Lst/Sodh-1/Yp2	14	1	All Clusters ( 275 genes)	0.0509090909090909	0.017544983031312	2.90163238221632
D035181	TATA-Box Binding Protein	13/275	246/15617	0.000432637771783874	0.0112147764744436	0.00950368669504433	Adgf-D/Adh/CG15203/CG42369/Nepl6/CG6910/Dif/GlyP/Hex-C/Mal-B2/ninaC/Obp99c/v	13	1	All Clusters ( 275 genes)	0.0472727272727273	0.0157520650573093	3.0010495195861
D050487	Glycine Plasma Membrane Transport Proteins	4/275	21/15617	0.000444497453555273	0.0112147764744436	0.00950368669504433	Eaat1/Eaat2/Gat/Shmt	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00134468848050202	10.8169696969697
D037102	Lectins	11/275	185/15617	0.000445352134364185	0.0112147764744436	0.00950368669504433	CG15293/CG2839/Dif/fon/GNBP3/lectin-28C/mtg/nec/psh/SPE/Tig	11	1	All Clusters ( 275 genes)	0.04	0.0118460651853749	3.37664864864865
D037521	Virulence Factors	10/275	159/15617	0.000519444028049726	0.0128469639080155	0.010886843820967	AttC/CG10960/Dif/DptB/GNBP3/Npc2g/PGRP-SD/psh/Ser7/SPE	10	1	All Clusters ( 275 genes)	0.0363636363636364	0.0101812127809438	3.57164093767867
D000106	Acetate-CoA Ligase	3/275	10/15617	0.000591340945875705	0.0143685475445237	0.0121762724774037	Acsl/Adh/Aldh	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000640327847858103	17.0367272727273
D013482	Superoxide Dismutase	19/275	465/15617	0.000605003130209185	0.0144470575058573	0.0122428038145779	Ac76E/Adh/Aldh/CG11089/Nepl21/Ugt49C1/CG16898/Cyp6d2/fbp/Hex-C/IM2/Irc/Lsp1beta/Mal-B2/nrv1/PGRP-SD/Shmt/svp/Tps1	19	1	All Clusters ( 275 genes)	0.0690909090909091	0.0297752449254018	2.32041446725318
D010433	Pentylenetetrazole	6/275	60/15617	0.000636925264365595	0.0145239789497944	0.0123079890017258	AkhR/eas/Hrb27C/Prat2/Yp2/Yp3	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00384196708714862	5.67890909090909
D001391	Azo Compounds	4/275	23/15617	0.000639684271434988	0.0145239789497944	0.0123079890017258	Acsl/CG13868/LKRSDH/nrv2	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00147275405007364	9.87636363636364
D018009	Receptors, Glycine	4/275	23/15617	0.000639684271434988	0.0145239789497944	0.0123079890017258	Eaat1/Eaat2/Gat/Shmt	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00147275405007364	9.87636363636364
D000806	Angiotensin-Converting Enzyme Inhibitors	3/275	11/15617	0.000802533028722108	0.0174379240274767	0.014777340141088	Acer/Ance-4/Ance-5	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000704360632643914	15.4879338842975
D018836	Inflammation Mediators	3/275	11/15617	0.000802533028722108	0.0174379240274767	0.014777340141088	Dif/nec/Ubx	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000704360632643914	15.4879338842975
D003165	Complement System Proteins	5/275	42/15617	0.000815017828623962	0.0174379240274767	0.014777340141088	DptB/Glt/GNBP3/IM2/lectin-28C	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00268937696100403	6.76060606060606
D006162	Guanylate Cyclase	11/275	199/15617	0.000818386326199266	0.0174379240274767	0.014777340141088	ap/Atpalpha/AttC/CG15293/CG31183/CG6415/cv-2/eas/Idgf1/nrv2/tok	11	1	All Clusters ( 275 genes)	0.04	0.0127425241723763	3.13909547738693
D003470	Culture Media	9/275	141/15617	0.000883129460523508	0.0182557358630606	0.015470374681598	Adh/ap/AttC/DptB/Glt/tsl/Ubx/Yp2/Yp3	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.00902862265479926	3.62483558994197
D005998	Glycine	9/275	141/15617	0.000883129460523508	0.0182557358630606	0.015470374681598	Adh/ap/AttC/DptB/Eaat1/Eaat2/Gat/Irc/Shmt	9	1	All Clusters ( 275 genes)	0.0327272727272727	0.00902862265479926	3.62483558994197
D009004	Monosaccharide Transport Proteins	6/275	64/15617	0.000899576030475704	0.0183222470913066	0.0155267379873128	Dif/GNBP3/nec/psh/SPE/trio	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00409809822629186	5.32397727272727
D020725	ral GTP-Binding Proteins	11/275	203/15617	0.000963267193216947	0.0185838175894737	0.0157483994773043	Adh/CG11089/CG2233/CG3984/CG5080/CG5390/CG6912/Gat/ninaC/svp/Yp3	11	1	All Clusters ( 275 genes)	0.04	0.0129986553115195	3.07724137931035
D009414	Nerve Growth Factors	19/275	484/15617	0.000974803847367474	0.0185838175894737	0.0157483994773043	ap/Atpalpha/CG5321/CG5707/Dif/Dr/Idgf2/nec/nrv1/nrv2/Pdi/Spn28Dc/Spn43Ab/Spn77Ba/Spn88Eb/svp/Tig/trio/Ubx	19	1	All Clusters ( 275 genes)	0.0690909090909091	0.0309918678363322	2.22932381667919
D014819	Vitellogenins	6/275	65/15617	0.000976662607961628	0.0185838175894737	0.0157483994773043	ap/Apoltp/cv-d/Mtp/Yp2/Yp3	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00416213101107767	5.24206993006993
D007703	Peptidyl-Dipeptidase A	7/275	89/15617	0.000979508075113053	0.0185838175894737	0.0157483994773043	Acer/Ance-4/Ance-5/AttC/DptB/Nep4/teq	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00569891784593712	4.46655771195097
D051198	Toll-Like Receptor 5	7/275	89/15617	0.000979508075113053	0.0185838175894737	0.0157483994773043	AttC/Dif/DptB/GNBP3/nec/psh/Tsf1	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00569891784593712	4.46655771195097
D004040	Dietary Carbohydrates	15/275	342/15617	0.00111957614256891	0.020954229154837	0.0177571465002039	Adh/AkhR/CG11089/CG18003/CG5321/CG6277/CG9837/GlyP/Hex-C/LKRSDH/Lsd-1/Lst/Shmt/Spat/Tps1	15	1	All Clusters ( 275 genes)	0.0545454545454545	0.0218992123967471	2.49074960127592
D007375	Interleukin-1	6/275	68/15617	0.00123864782242219	0.0228736964540632	0.0193837518877298	AttC/Dif/DptB/GNBP3/nec/Tsf1	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.0043542293654351	5.01080213903743
D002688	Chitinases	6/275	69/15617	0.00133693411645735	0.0243638651485978	0.0206465587236835	Adh/Idgf1/Idgf2/Idgf4/Idgf5/mtg	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00441826215022091	4.93818181818182
D004075	Diglycerides	4/275	28/15617	0.00138035896182392	0.0246895415009526	0.0209225451442616	AkhR/Apoltp/cv-d/Mtp	4	1	All Clusters ( 275 genes)	0.0145454545454545	0.00179291797400269	8.11272727272727
D016326	Extracellular Matrix Proteins	17/275	423/15617	0.00139045793290563	0.0246895415009526	0.0209225451442616	Atpalpha/CG15293/cv-2/DptB/fon/Gel/Glt/GNBP3/IM2/Kal1/lectin-28C/mtg/Ndg/Tig/trio/tsl/Yp2	17	1	All Clusters ( 275 genes)	0.0618181818181818	0.0270858679643978	2.28230388996346
D014508	Urea	5/275	48/15617	0.00150572853930916	0.0263978990752302	0.0223702507838736	Adh/arg/nec/nrv1/nrv2	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.0030735736697189	5.9155303030303
D006454	Hemoglobins	5/275	49/15617	0.00165307494414467	0.0286188599705047	0.0242523495094909	GlyP/Lsp1beta/Pdfr/Pdh/Tps1	5	1	All Clusters ( 275 genes)	0.0181818181818182	0.00313760645450471	5.79480519480519
D014527	Uric Acid	3/275	14/15617	0.00170245865294259	0.0291099411645122	0.0246685041979336	Acsl/Atpalpha/fbp	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000896458987001345	12.1690909090909
D000468	Alkalies	2/275	4/15617	0.00181088610693888	0.030078905997438	0.0254896296311179	nrv1/nrv2	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.000256131139143241	28.3945454545455
D051696	Activating Transcription Factors	2/275	4/15617	0.00181088610693888	0.030078905997438	0.0254896296311179	Adh/Yp2	2	1	All Clusters ( 275 genes)	0.00727272727272727	0.000256131139143241	28.3945454545455
D010634	Phenobarbital	7/275	99/15617	0.0018242802193392	0.030078905997438	0.0254896296311179	Adh/CG3597/CG6908/Cyt-b5-r/DptB/Npc2g/Npc2h	7	1	All Clusters ( 275 genes)	0.0254545454545455	0.00633924569379522	4.01539026629936
D001057	Apolipoproteins E	3/275	15/15617	0.00210052821866981	0.0334394434811229	0.0283374345289394	Adh/Dmtn/Mtp	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000960491771787155	11.3578181818182
D005936	Glucans	3/275	15/15617	0.00210052821866981	0.0334394434811229	0.0283374345289394	Dif/GNBP3/psh	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000960491771787155	11.3578181818182
D012695	L-Serine Dehydratase	3/275	15/15617	0.00210052821866981	0.0334394434811229	0.0283374345289394	CG11236/CG3999/Spat	3	1	All Clusters ( 275 genes)	0.0109090909090909	0.000960491771787155	11.3578181818182
D047630	Depsipeptides	6/275	76/15617	0.00220137712504923	0.0346466740703771	0.0293604724214102	AttC/GNBP3/Hayan/nec/PGRP-SD/SPE	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00486649164372159	4.48334928229665
D009696	Nucleic Acids	12/275	261/15617	0.00233821275166371	0.0363867939444296	0.0308350942413369	Achl/ap/Apoltp/CG12116/CG31326/Nepl14/CG9649/cv-d/DptB/fbp/Pdh/Slob	12	1	All Clusters ( 275 genes)	0.0436363636363636	0.0167125568290965	2.61099268547544
D018696	Neuroprotective Agents	11/275	228/15617	0.00242723190875179	0.037352402151347	0.031653375184307	CG11089/Ugt49C1/CG16898/Cyp6d2/Dyb/moody/nec/Odc1/ppk19/Shmt/v	11	1	All Clusters ( 275 genes)	0.04	0.0145994749311648	2.73982456140351
D018955	CD36 Antigens	6/275	79/15617	0.00267923753094225	0.0407774063775277	0.0345558108386421	CG2736/CG3829/Dif/NimB1/NimB2/NimB5	6	1	All Clusters ( 275 genes)	0.0218181818181818	0.00505858999807902	4.31309551208285
