gene_name	Full_Name	ci_repressor_bound	food_response_cluster	food_response_FDR	log2_hour_6_Ci_KD_over_WT	log2_hour_12_Ci_KD_over_WT	log2_hour_6_and_12_Ci_KD_over_WT	log2_Hour_0_FSC_enrichment	Hour_0_FSC_FDR	log2_Hour_3_FSC_enrichment	Hour_3_FSC_FDR	log2_Hour_6_FSC_enrichment	Hour_6_FSC_FDR	log2_Hour_12_FSC_enrichment	Hour_12_FSC_FDR	log2_Hour_24_FSC_enrichment	Hour_24_FSC_FDR	log2_Hour_ALL_FSC_enrichment	Hour_ALL_FSC_FDR	Enriched_Tissue	Repeat_Info	entrez_gene_ID
CG11459	uncharacterized protein	No	2	2.78623419476124e-06	-0.466523079912608	0.022552723517709	-0.443970356394899	0.55499223174	0.0579171801152834	2.6354487192	5.6087118752841e-10	2.53501305779	2.15379743468943e-14	0.8660486814706	0.00571341010258092	0.001988084205	0.886606208816789	1.28691647287	8.40985879452307e-08	Fat	Genome	40741
CG5171	uncharacterized protein	No	3	3.69567059534015e-06	-0.330346642068415	0.227643274850005	-0.102703367218409	0.38889751357	0.0121017421141535	0.9908301947	3.09779964407821e-08	0.87506810179	1.89650468738243e-09	0.1367887517744	0.39911320685397	-0.0745209251	1	0.42569251606	8.93544283665514e-05	Carcass	Genome	34016
CG2145	uncharacterized protein	Yes	4	4.04895567118684e-06	-0.63981704955299	-0.445975940652057	-1.08579299020505	1.30863975921	1.22136833755443e-09	1.8070883104	1.41680681589531e-12	2.19268782526	5.72510692711003e-27	1.1502895586097	8.37323814377651e-08	0.361971335366	0.0778699595226427	1.38256253143	3.76565150373482e-20	Not Enriched	Genome	32027
CG13607	uncharacterized protein	Yes	4	5.9534841614571e-06	-0.638007952103004	0.243714522834724	-0.39429342926828	1.67378596442	3.6251310143829e-08	2.530194445	1.09823115065128e-12	2.39104052272	5.39982320563745e-17	0.9383834643755	0.00129107012303498	0.083184446504	0.516801427947112	1.53824904826	7.70786975238343e-14	Not Enriched	Genome	42859
alpha-Est8	alpha-Esterase-8	No	2	1.05013948313308e-05	-0.489669080127912	-0.191113232664821	-0.680782312792733	0.54859743678	0.00283769150702546	1.5740689865	7.5065910596841e-14	1.41940499424	6.36566108029693e-17	0.7066874407913	0.000104295030413441	0.166075117827	0.305382580467785	0.87861342634	3.12591681949915e-12	Not Enriched	Genome	40899
CG17549	uncharacterized protein	No	4	1.05013948313308e-05	-0.88917867384709	-0.227327622201668	-1.11650629604876	0.81328921178	0.00704293605410934	1.6651608878	1.23674505842861e-05	2.48425862108	2.63120685569654e-15	0.860799469195	0.0050164278352396	-0.017043198515	0.978432860196237	1.13610415661	1.05425998172583e-07	Not Enriched	Genome	35212
Yp2	Yolk protein 2	No	11	1.05013948313308e-05	-0.398028925211727	0.249579702347525	-0.148449222864202	1.27269185078	1.16518792428349e-07	0.001115893	1	-0.28796565175	1	-0.2383799167301	1	0.000328406762	0.898483464139834	0.09902325675	0.505703217140778	Not Enriched	Genome	31938
CG16758	uncharacterized protein	No	2	1.13327373172542e-05	-0.597718751044898	0.431702946897918	-0.16601580414698	0.16415424353	0.443719861634903	1.898482998	3.04170534543678e-06	2.02645960228	9.10379119284664e-10	0.1751744792901	0.381969355650535	-0.054757212274	1	0.72380151316	0.000634247868381604	Not Enriched	Genome	38315
LKRSDH	Lysine ketoglutarate reductase/saccharopine dehydrogenase	No	2	1.13327373172542e-05	-0.502342531332233	-0.343723546831264	-0.846066078163497	0.52184382663	0.018782315900056	1.9840443998	1.2859030438998e-12	1.57188060481	1.83778672559462e-12	0.7385635708251	0.00126682112475834	0.085294739413	0.548756395248658	0.95850784482	1.60538987013967e-09	Not Enriched	Genome	34064
CG18249	uncharacterized protein	No	2	1.15128598627559e-05	-0.679284306645111	-0.202103510930646	-0.881387817575757	0.43447505182	0.0445780983711073	1.6134482239	9.26258238373998e-09	1.73281094521	2.82387363201886e-14	0.6266238493901	0.00638550637869401	0.053190131807	0.686505955540044	0.88180391992	3.7356573221405e-08	Fat	Genome	40964
CG6330	uncharacterized protein	No	3	1.40478472970834e-05	-0.245439788477726	-0.18597554515892	-0.431415333636645	0.01925210519	0.854535894360141	0.5415435475	3.3963327556318e-05	0.43459113298	5.30471047854772e-05	0.2544758309405	0.0263670630497947	-0.191547984864	1	0.1821681289	0.0191803704460276	Not Enriched	Genome	43240
Mtp	Microsomal triacylglycerol transfer protein	No	2	1.40478472970834e-05	-0.513928622512897	-0.250417882622017	-0.764346505134913	0.37267352289	0.0320114971164275	1.2784854641	1.64439090671372e-09	1.47234943468	3.24958599082263e-18	0.4688729413566	0.00629312836310962	0.254224652861	0.14828359882938	0.78225856922	2.27633471801344e-10	Not Enriched	Genome	35362
Spat	Serine pyruvate aminotransferase	No	4	1.40649151902715e-05	-0.542939400343368	0.237016710837505	-0.305922689505863	0.37026916817	0.0587935612868006	1.366781517	5.19096866720046e-08	1.11898419811	3.91373061714904e-08	0.2157316878352	0.253347277456051	-0.069169339621	1	0.54003741459	0.000108859134382545	Fat	Genome	31587
alpha-Est2	alpha-Esterase-2	No	4	1.41273097376127e-05	-0.630673938621311	0.0105949962143912	-0.62007894240692	1.15405086269	2.38674183072723e-05	2.140069459	6.00482219132925e-11	2.22762857637	5.03707919224885e-17	0.9247137330931	0.000613410204970358	0.106001280543	0.454634593887454	1.31658157816	9.13669539429751e-13	Head, Female Head, Fat	Genome	40908
Hex-C	Hexokinase C	No	3	1.41479567875098e-05	-0.355760029993741	0.206185668116259	-0.149574361877482	0.19706586254	0.229172401819077	0.9523528022	5.48461396285831e-07	0.92872882359	1.71622776703357e-09	0.1891653229667	0.245757441399851	-0.063377804795	1	0.40234803027	0.000248564678846167	Head, Male Head, Female Head, Digestive System, Carcass	Genome	44008
CG8586	uncharacterized protein	Yes	4	1.88604315450099e-05	-0.411548506953838	0.288675986871713	-0.122872520082125	0.85245251065	0.00598625477224462	2.0430362092	2.05254560847113e-07	2.3924351	6.00197197245827e-14	0.6175012525486	0.0289827103925976	0.011157279543	0.849664946202477	1.1722464436	5.12651768375904e-08	Not Enriched	Genome	35854
CG14990	uncharacterized protein	No	4	1.9168106120923e-05	-0.738432643946188	0.207356509064876	-0.531076134881312	0.85633450604	0.0104399900909112	2.023495598	4.44149340290272e-06	2.84965650448	1.38621720291759e-14	1.171918341833	0.00130946195452538	-0.001395039387	0.904259732921178	1.37046766648	1.87615960074598e-08	Fat	Genome	38486
CG4721	Neprilysin-like 15	No	2	2.42261572138404e-05	-0.695296453761778	-0.0826405652437668	-0.777937019005544	0.86763469198	0.00522461038611164	2.0998933175	7.04287137299933e-08	2.82059783678	6.62682144223086e-19	1.3977872723857	2.08154763411742e-05	0.102465172969	0.422013693281811	1.50610129671	3.00892041074406e-12	Head, Male Head, Female Head, Carcass	Genome	42701
CG34136	uncharacterized protein	No	2	2.45596347509251e-05	-0.625466141518059	0.212991873209687	-0.412474268308372	0.68530094352	0.0242005802801465	2.6959284048	1.95445095012766e-08	1.95562719267	2.61564964772479e-07	0.1850643369836	0.359158760810856	-0.013367447273	0.963786339523659	0.97013524893	2.45278767119364e-05	Fat	Genome	4379892
fat-spondin	fat-spondin	No	2	2.6905926558121e-05	-0.762584864940937	-0.0082785814202101	-0.770863446361147	0.8790802119	0.00345022642733856	2.0612721663	3.48791606690365e-08	2.71213944532	6.70327152146588e-19	1.261922158959	6.22537403827002e-05	0.123211054422	0.368308404165795	1.45519899099	2.12893779121318e-12	Not Enriched	Genome	36919
CRMP	Collapsin Response Mediator Protein	No	3	2.87697067123041e-05	-0.330672035122786	0.0442977700944863	-0.286374265028299	0.48493484552	0.00451784598327574	1.4034235171	1.78586345519325e-12	1.11596410346	3.89942387982919e-12	0.4626696721963	0.00488462150506159	0.109765634771	0.466484841913508	0.69969327152	8.79385858050324e-10	Not Enriched	Genome	40675
tsl	torso-like	No	4	2.90867594700366e-05	-0.705593943151391	0.0288914449614007	-0.676702498189991	0.59006396991	0.0226589404402439	2.0031094701	2.85450693900623e-09	1.273660653	1.7989366544358e-06	0.1636271045087	0.422097604273793	-0.039804376144	1	0.71328092954	6.49927962708158e-05	Not Enriched	Genome	42564
SPE	Spatzle-Processing Enzyme	No	2	3.20433941775053e-05	-0.681549190667902	0.17010563914292	-0.511443551524982	0.11253426548	0.59206573618255	1.3022466125	3.86256772702708e-05	1.85491051189	5.50920793338703e-13	0.5154140182719	0.0308474832135593	0.026105232546	0.792198586525467	0.75657940855	1.43507150043676e-05	Head, Male Head, Female Head, Carcass	Genome	42791
CG14528	Neprilysin-like 18	No	4	3.25560550076683e-05	-0.658369633985133	0.172494686150078	-0.485874947835055	1.24927831407	2.21406335496213e-05	1.5907783781	8.45308867706055e-06	2.69425279857	2.78545560846688e-19	0.6688413795987	0.0163644358285928	0.174651635147	0.269990462926424	1.34822996541	1.04487758877684e-11	Head, Female Head, Fat	Genome	43410
Tps1	Trehalose-6-phosphate synthase 1	No	4	4.00526907622507e-05	-0.655336482773519	0.532942539260093	-0.122393943513426	1.06594603469	2.57295064730598e-05	1.7541405171	6.12397149798162e-09	1.78913468316	1.33205988027559e-13	0.3195421908212	0.131553854504601	0.089657134465	0.526044683743732	1.01473518348	8.08352788521167e-10	Not Enriched	Genome	33642
Acsl	Acyl-CoA synthetase long-chain	No	3	6.01353548696172e-05	-0.39531346157578	0.11647372859486	-0.27883973298092	0.24933734205	0.0977473292030088	0.9553759758	2.08306675764612e-08	0.72853578965	1.07674907163893e-07	0.0330099296837	0.84613043653627	0.030762078597	0.737325136155046	0.36815191286	0.00012613588651317	Not Enriched	Genome	46068
Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C	No	1	6.73920271936723e-05	-0.0866021198299949	0.15997896495536	0.0733768451253648	0.23977209734	0.0561231457652412	-0.3556679749	1	-0.24182225256	1	-0.2269841973474	1	0.310125454244	0.0223632064613748	-0.02941001298	1	Not Enriched	Genome	33968
Acer	Angiotensin-converting enzyme-related	Yes	3	7.69831327839269e-05	-0.415646919979749	-0.138323121450378	-0.553970041430127	0.55616002822	0.00118306293286372	1.0477547732	3.14732554817665e-07	1.34086835106	3.64137001455881e-16	0.5589213730926	0.00114911715212756	0.078846186007	0.597782473750998	0.71990315985	2.82185219206186e-10	Not Enriched	Genome	34189
CG11842	uncharacterized protein	No	4	8.55919724218045e-05	-0.557833831980807	0.190023287860418	-0.367810544120388	0.54800699867	0.0436648655239179	1.480140512	8.42038470160873e-05	2.22151448247	9.08325906849456e-13	0.2578182521721	0.233593118788632	0.010747805997	0.852141647745417	0.91213602008	6.09167825517304e-06	Head, Male Head, Female Head, Carcass	Genome	43431
CG5321	uncharacterized protein	No	2	8.87592399644358e-05	-0.540747293276374	0.179968589573383	-0.360778703702992	0.14976669813	0.473020334280497	1.294325265	1.96918023032041e-05	1.43644545242	2.44811339428726e-09	0.1125234768659	0.57012690186125	-0.016920991571	0.96543179089298	0.54304960562	0.000583257804675494	Not Enriched	Genome	32399
Prat2	Phosphoribosylamidotransferase 2	No	2	9.23542522415922e-05	-0.456857282713068	0.446238145566506	-0.0106191371465618	0.40380976312	0.121139275051859	2.3895943318	1.61521677214427e-06	2.61349823468	1.25333263886818e-10	0.5329231051882	0.0640241612850382	-0.019758956259	0.998854857230958	1.12283461666	3.46449097921251e-05	Not Enriched	Genome	38753
Spn88Eb	Serpin 88Eb	No	2	0.000109679086659135	-0.795448221320882	-0.559459630101881	-1.35490785142276	0.92772474313	0.00983134640523001	2.7093816337	1.51514886117633e-08	2.991136121	1.03755644714079e-14	1.1814854571553	0.00188041264113829	0.071925204464	0.507233278460421	1.60969557195	1.16149759104896e-10	Not Enriched	Genome	41829
CG4325	uncharacterized protein	No	2	0.000123195095042196	-0.322904516310105	-0.126364350698533	-0.449268867008638	-0.56929313428	1	0.3615132013	0.1278690754245	0.55207896925	0.00350659874996611	-0.3176038459701	1	-0.282266604118	1	-0.10018313579	1	Fat	Genome	31167
CG42613	uncharacterized protein	No	3	0.000128947397837612	-0.610535144153839	-0.904186995874911	-1.51472214002875	1.05065562961	5.76762954932679e-13	1.7862295423	6.49412813928615e-24	1.71044030026	2.40031066417781e-28	1.2445603946022	2.7886450271614e-14	0.741307967423	8.58013159733023e-06	1.28700815082	1.241231937468e-35	Not Enriched	Genome	42269
eas	easily shocked	No	3	0.000151969079848161	-0.113211666640106	0.0518339176641304	-0.0613777489759756	-0.08279345331	1	0.4376697269	3.08463811816168e-06	0.26943751482	0.000608753363825031	0.0133975923679	0.876004523001064	-0.019722299466	0.98842544894544	0.10401784828	0.069098769294465	Not Enriched	Genome	32585
tok	tolkin	Yes	4	0.000151969079848161	-0.345586039430091	-0.10239657643807	-0.447982615868161	0.94268133397	3.27563976952096e-05	1.685403735	9.48366029367527e-10	1.96205717195	7.83652563941422e-19	0.9823673206793	2.08154763411742e-05	0.247543674713	0.185975360496973	1.18887239524	9.09131550892559e-16	Not Enriched	Genome	42944
CG2233	uncharacterized protein	No	4	0.000162747084078415	0.601894610827663	1.13981802236323	1.7417126331909	0.84806420736	0.0113735261432084	2.2130972929	7.02308591769212e-07	1.86734233847	4.86706359786684e-07	0.2741479989419	0.193792921069215	-0.062278913513	1	0.96111568712	2.0093789471306e-05	Not Enriched	Genome	31721
CR44135	long non-coding RNA:CR44135	No	9	0.000162747084078415	-0.51919402360318	0.0171487260136217	-0.502045297589559	-0.02278504673	1	3.6440156516	9.14487909871713e-09	1.73359910966	0.000288892252324965	0.0284020008697	0.856830578578754	0.129688217393	0.217867230851544	0.94534566713	0.000738158101235886	Fat	Genome	14462451
RpL7	Ribosomal protein L7	No	NA	0.000162880079664283	0.120565207747308	-0.426496386663608	-0.305931178916299	0.09338847043	0.417541657251431	-0.4708571149	1	-0.29850904753	1	0.1062030238611	0.360691615698655	0.065367201803	0.576125859642776	-0.06869275288	1	Not Enriched	Genome	34352
CG4723	Neprilysin-like 14	No	4	0.000167274848366488	-0.469755938117097	-0.304250738562786	-0.774006676679883	1.10903037254	0.002554375392383	2.4864853595	2.58201751976389e-08	3.03376884178	2.5639208717818e-16	1.2947482612501	0.000514951076004854	0.099348761696	0.401039769854049	1.67145236615	4.03553779074015e-12	Fat	Genome	42700
CG5080	uncharacterized protein	No	2	0.000230401169174939	-0.565235851658964	-0.270521309876094	-0.835757161535058	0.48395564094	0.0504739580768519	1.5811094748	2.03374921130968e-06	1.93964460509	6.77138535441084e-13	0.9161399550828	0.000901441829758725	0.02937728684	0.77602469263994	1.00304663651	1.39782230897387e-08	Not Enriched	Genome	33299
nec	necrotic	No	4	0.000258671752427716	-0.717872335882139	-0.048157589136102	-0.766029925018241	1.05036450853	3.40556093491433e-06	1.8173838647	1.68011336773937e-11	1.9181182054	9.32277777007037e-19	0.830027394542	0.000240720425307224	0.395996649519	0.068711524650373	1.2157998454	4.89064802277815e-17	Not Enriched	Genome	45908
CG5390	uncharacterized protein	No	3	0.000259235455501565	-0.411471606011104	-0.218349684430201	-0.629821290441306	0.32093511938	0.025934194214592	0.5232351699	0.00264357935458126	0.84887691786	6.63875579883541e-10	0.1432191368274	0.338280513778904	-0.057498531298	1	0.34364479447	0.000185083778153568	Not Enriched	Genome	34383
CG2736	uncharacterized protein	No	4	0.000272182266969277	-0.741939204139393	-0.214954872529017	-0.95689407666841	1.45022847645	7.6814189739493e-05	2.6765737513	1.38622862952944e-09	2.82066471835	3.71836731124177e-15	1.2593239172019	0.000527614844124392	0.097124771217	0.417486712291797	1.69663584885	1.20229103466181e-13	Not Enriched	Genome	37998
CG30431	uncharacterized protein	Yes	4	0.000272182266969277	-0.434378448772822	-0.0110789300814705	-0.445457378854292	1.5911364597	9.33969791528764e-06	2.5139694074	3.34577419459676e-12	2.04254196923	3.54708422197379e-12	0.7150816764499	0.01532531454771	0.06757586409	0.563244654573974	1.4377849603	3.98615875518147e-12	Not Enriched	Genome	35549
Gel	Gelsolin	No	4	0.000273791521700557	-0.407661146234452	-0.196730369064501	-0.604391515298953	0.69938498293	0.00164239069841914	0.8722487882	0.000781278972958151	1.71189666239	9.2407432824217e-16	0.7844701436319	0.000366783067755368	0.049002936709	0.695769216632965	0.85911538005	1.10163891122869e-09	Not Enriched	Genome	46008
GNBP3	Gram-negative bacteria binding protein 3	No	4	0.000273791521700557	-0.514188536218601	0.158817619942896	-0.355370916275706	0.89277984897	0.00103391030592931	1.8003367042	8.01914926348228e-08	1.98482183159	1.0903889399137e-12	0.3306568432502	0.139418752401214	0.114364663857	0.424650167026016	1.05790893621	2.46500021106459e-09	Not Enriched	Genome	39020
CG7560	uncharacterized protein	No	2	0.000331536298121619	-0.617191469492855	0.162396625190628	-0.454794844302226	0.20273548181	0.332127557557056	2.3464926546	3.56950619694472e-06	2.35115271603	1.44854423876326e-08	0.1564973766764	0.3901177397066	-0.008306004408	0.941743644844782	0.95423684599	0.000123264611481183	Head, Male Head, Female Head, Carcass	Genome	39276
CG17278	uncharacterized protein	No	3	0.000340787499922113	-0.278063605999325	-0.150114238204645	-0.42817784420397	0.28957936721	0.0568666884326791	0.9584157553	7.09672475254932e-09	0.86235506752	4.89873533028012e-10	0.2303183301305	0.159243618251057	0.051913612538	0.688717924512859	0.47571747561	5.6914503778066e-07	Not Enriched	Genome	50050
Spn77Ba	Serpin 77Ba	No	4	0.000340787499922113	-0.610741963273394	0.0848783578835773	-0.525863605389817	0.59696981652	0.00504020962997859	1.2236888814	5.52167694514582e-06	1.5657860965	3.14611605712107e-13	0.4513737829088	0.0328730348740221	0.060893071127	0.658762488878867	0.79630879321	1.32178885103069e-08	Not Enriched	Genome	40234
RpL6	Ribosomal protein L6	No	1	0.00034802779359439	-0.204768216881452	-0.187441414176624	-0.392209631058076	-0.16220964907	1	-0.2994256288	1	-0.13297935116	1	-0.2750809164752	1	0.32747648922	0.00735697520088112	-0.09615233364	1	Not Enriched	Genome	43723
CR45233	long non-coding RNA:CR45233	No	NA	0.000360702211155541	0.104127715619322	0.133901132006119	0.238028847625442	-0.10977209766	1	-2.6238717044	1	-0.53707891731	1	-0.3368351179542	1	-0.175853145429	1	-0.7066365122	1	Ovary, S2R+ Cells	Genome	19835292
yellow-f2	yellow-f2	No	2	0.000360702211155541	-0.200993684467981	0.254649786272297	0.053656101804316	0.548821759	0.0268151753534637	1.7679891664	2.20172544914115e-07	1.73097244203	1.25333263886818e-10	0.4678798693578	0.0496524162481852	0.059757890422	0.62477642507826	0.9147610201	8.29898072959253e-08	Head, Male Head, Female Head, Carcass	Genome	41596
Apoltp	Apolipoprotein lipid transfer particle	No	2	0.000399683847528371	-0.0654755523946704	-0.197247774025788	-0.262723326420458	0.84911834251	0.00208109522813609	1.9913333521	3.79672637619045e-09	2.28133842354	4.42176052278681e-17	1.5285503907853	9.13385234893333e-08	0.222388468241	0.211614179315268	1.43515045545	5.88021592454644e-16	Head, Female Head, Carcass	Genome	34283
CG11594	uncharacterized protein	No	2	0.000399683847528371	-0.270928104104247	0.0339229732682214	-0.237005130836025	0.15778430463	0.416069875910367	0.9180850886	0.000244711976762135	1.16439952944	1.2611802074208e-08	0.585788617308	0.004661003943455	-0.061302955583	1	0.52171093159	6.21019963110067e-05	Not Enriched	Genome	38473
Mal-B2	Maltase B2	No	4	0.000399683847528371	-0.644905775071912	0.0869351428408988	-0.557970632231013	0.7113337617	0.00764301498890859	0.9346055086	0.00377453327290926	1.816486572	2.81541865812202e-11	0.2951991373235	0.172447233994319	-0.030703455759	1	0.75439411072	1.05601511442146e-05	Not Enriched	Genome	34598
ppk19	pickpocket 19	No	2	0.000399683847528371	-0.193155725130787	-0.336623247086599	-0.529778972217386	0.13773692047	0.508050351196471	2.2324727318	1.81935832940412e-10	1.1087102472	0.00120000869996807	0.1020550178713	0.562502462062969	-2.6240816e-05	0.895380817657882	0.71846574643	0.000773699952614599	Testis, Imaginal Disc	Genome	43489
CG12224	uncharacterized protein	No	5	0.000434227039514175	-0.31233469846348	0.0219371252214079	-0.290397573242072	-0.43844010734	1	1.5219636119	4.37116555618102e-05	0.30342766357	0.254534406913325	-0.1778797131921	1	-0.104708035527	1	0.01010288163	0.924290993466292	Fat	Genome	41453
CG14526	Neprilysin-like 21	No	4	0.000452320745963318	-0.379759918433771	-0.147549301857343	-0.527309220291114	1.4258389364	1.78468520633782e-06	1.9194045717	4.27741180274598e-08	2.3187800513	2.5639208717818e-16	1.1604323386408	7.37553420110928e-05	0.114251444986	0.416860117388743	1.43819418407	3.74304071615076e-15	Not Enriched	Genome	43413
CG10680	uncharacterized protein	No	4	0.000479808399804903	-0.263197822861543	0.636628629883175	0.373430807021632	1.22798951825	0.000134763020988725	1.6507142635	1.55808114307172e-05	2.45221812044	8.10719645949485e-15	1.0546169793172	0.00103464065175183	0.045835040076	0.682969753338423	1.32466907819	3.96414775203218e-11	Head, Male Head, Female Head, Carcass	Genome	35282
CG33493	uncharacterized protein	No	2	0.000500390134479759	-0.614885147490067	0.18833794751404	-0.426547199976027	0.15223690877	0.471901882231725	1.7541588446	6.56097275223102e-05	1.88589412685	2.18729912563892e-07	0.1866944945033	0.354592081544322	-0.058599071331	1	0.68046580768	0.00130582730550516	Not Enriched	Genome	2768994
Ance-4	Ance-4	No	4	0.000548352819848932	-0.259569099841033	0.462132429320241	0.202563329479208	0.78995494455	0.00388780421409097	1.4259998983	2.62734414469379e-05	1.8810621681	2.32499336399679e-11	0.5084639762063	0.0439858929689743	0.009453015255	0.862325508261015	0.93717175891	1.22828310066845e-07	Fat	Genome	35909
